Matrix_1,Matrix_2,Matrix_3,Matrix_4,Matrix_5,Matrix_6,Matrix_7,Matrix_8,Matrix_9,Matrix_10,Matrix_11,Matrix_12,Matrix_13,Matrix_14
242,62.6571428571429,-19.0857142857143,242,150,141,151,242,0,0,242,0,0,0
243,73.8285714285714,-19.0857142857143,243,151,141,142,243,0,0,243,0,0,0
244,85,-19.0857142857143,244,151,142,152,244,0,0,244,47.7142857142857,0,0
245,0,-19,245,152,142,143,245,0,0,245,0,0,0
246,2.26666666666667,-19.2777846551728,246,152,143,153,246,0,0,246,0,0,0
247,4.53333333333333,-20.2368423221432,247,153,143,144,247,0,0,247,0,0,0
248,6.8,-23.8571428571429,248,153,144,154,248,0,0,248,0,0,0
249,17.9714285714286,-23.8571428571429,249,56,45,145,249,0,0,249,0,0,0
250,29.1428571428571,-23.8571428571429,250,56,145,155,250,0,0,250,0,0,0
251,40.3142857142857,-23.8571428571429,251,155,145,146,251,0,0,251,0,0,0
252,51.4857142857143,-23.8571428571429,252,155,146,156,252,0,0,252,0,0,0
253,62.6571428571429,-23.8571428571429,253,156,146,147,253,0,0,253,0,0,0
254,73.8285714285714,-23.8571428571429,254,156,147,157,254,0,0,254,0,0,0
255,85,-23.8571428571429,255,157,147,148,255,0,0,255,47.7142857142857,0,0
256,0,-22.8,256,157,148,158,256,0,0,256,0,0,0
257,2.26666666666667,-23.1333415862074,257,158,148,149,257,0,0,257,0,0,0
258,4.53333333333333,-24.2842107865718,258,158,149,159,258,0,0,258,0,0,0
259,6.8,-28.6285714285714,259,159,149,150,259,0,0,259,0,0,0
260,17.9714285714286,-28.6285714285714,260,159,150,160,260,0,0,260,0,0,0
261,29.1428571428571,-28.6285714285714,261,160,150,151,261,0,0,261,0,0,0
262,40.3142857142857,-28.6285714285714,262,160,151,161,262,0,0,262,0,0,0
263,51.4857142857143,-28.6285714285714,263,161,151,152,263,0,0,263,0,0,0
264,62.6571428571429,-28.6285714285714,264,161,152,162,264,0,0,264,0,0,0
265,73.8285714285714,-28.6285714285714,265,162,152,153,265,0,0,265,0,0,0
266,85,-28.6285714285714,266,162,153,163,266,0,0,266,47.7142857142857,0,0
267,0,-26.6,267,163,153,154,267,0,0,267,0,0,0
268,2.26666666666667,-26.988898517242,268,163,154,164,268,0,0,268,0,0,0
269,4.53333333333333,-28.3315792510005,269,67,56,155,269,0,0,269,0,0,0
270,6.8,-33.4,270,67,155,165,270,0,0,270,0,0,0
271,17.9714285714286,-33.4,271,165,155,156,271,0,0,271,0,0,0
272,29.1428571428571,-33.4,272,165,156,166,272,0,0,272,0,0,0
273,40.3142857142857,-33.4,273,166,156,157,273,0,0,273,0,0,0
274,51.4857142857143,-33.4,274,166,157,167,274,0,0,274,0,0,0
275,62.6571428571429,-33.4,275,167,157,158,275,0,0,275,0,0,0
276,73.8285714285714,-33.4,276,167,158,168,276,0,0,276,0,0,0
277,85,-33.4,277,168,158,159,277,0,0,277,65.3571428571429,0,0
278,6.8,-41.7,278,168,159,169,278,0,0,278,0,0,0
279,17.9714285714286,-41.7,279,169,159,160,279,0,0,279,0,0,0
280,29.1428571428571,-41.7,280,169,160,170,280,0,0,280,0,0,0
281,40.3142857142857,-41.7,281,170,160,161,281,0,0,281,0,0,0
282,51.4857142857143,-41.7,282,170,161,171,282,0,0,282,0,0,0
283,62.6571428571429,-41.7,283,171,161,162,283,0,0,283,0,0,0
284,73.8285714285714,-41.7,284,171,162,172,284,0,0,284,0,0,0
285,85,-41.7,285,172,162,163,285,0,0,285,83,0,0
286,6.8,-50,286,172,163,173,286,0,0,286,0,0,0
287,17.9714285714286,-50,287,173,163,164,287,0,0,287,0,0,0
288,29.1428571428571,-50,288,173,164,174,288,0,0,288,0,0,0
289,40.3142857142857,-50,289,78,67,165,289,0,0,289,0,0,0
290,51.4857142857143,-50,290,78,165,175,290,0,0,290,0,0,0
291,62.6571428571429,-50,291,175,165,166,291,0,0,291,0,0,0
292,73.8285714285714,-50,292,175,166,176,292,0,0,292,0,0,0
293,85,-50,293,176,166,167,293,0,0,293,41.5,0,0
294,-2.26666666666667,-3.85555693103457,294,176,167,177,294,0,0,294,0,0,0
295,-4.53333333333333,-4.04736846442864,295,177,167,168,295,0,0,295,0,0,0
296,-6.8,-4.77142857142857,296,177,168,178,296,0,0,296,0,0,0
297,-17.9714285714286,-4.77142857142857,297,178,168,169,297,0,0,297,0,0,0
298,-29.1428571428571,-4.77142857142857,298,178,169,179,298,0,0,298,0,0,0
299,-40.3142857142857,-4.77142857142857,299,179,169,170,299,0,0,299,0,0,0
300,-51.4857142857143,-4.77142857142857,300,179,170,180,300,0,0,300,0,0,0
301,-62.6571428571429,-4.77142857142857,301,180,170,171,301,0,0,301,0,0,0
302,-73.8285714285714,-4.77142857142857,302,180,171,181,302,0,0,302,0,0,0
303,-85,-4.77142857142857,303,181,171,172,303,1,0,303,0,0,0
304,-2.26666666666667,-7.71111386206914,304,181,172,182,304,0,0,304,0,0,0
305,-4.53333333333333,-8.09473692885728,305,182,172,173,305,0,0,305,0,0,0
306,-6.8,-9.54285714285714,306,182,173,183,306,0,0,306,0,0,0
307,-17.9714285714286,-9.54285714285714,307,183,173,174,307,0,0,307,0,0,0
308,-29.1428571428571,-9.54285714285714,308,183,174,184,308,0,0,308,0,0,0
309,-40.3142857142857,-9.54285714285714,309,185,177,178,309,0,0,309,0,0,0
310,-51.4857142857143,-9.54285714285714,310,185,178,186,310,0,0,310,0,0,0
311,-62.6571428571429,-9.54285714285714,311,186,178,179,311,0,0,311,0,0,0
312,-73.8285714285714,-9.54285714285714,312,186,179,187,312,0,0,312,0,0,0
313,-85,-9.54285714285714,313,187,179,180,313,1,0,313,0,0,0
314,-2.26666666666667,-11.5666707931037,314,187,180,188,314,0,0,314,0,0,0
315,-4.53333333333333,-12.1421053932859,315,188,180,181,315,0,0,315,0,0,0
316,-6.8,-14.3142857142857,316,188,181,189,316,0,0,316,0,0,0
317,-17.9714285714286,-14.3142857142857,317,189,181,182,317,0,0,317,0,0,0
318,-29.1428571428571,-14.3142857142857,318,189,182,190,318,0,0,318,0,0,0
319,-40.3142857142857,-14.3142857142857,319,190,182,183,319,0,0,319,0,0,0
320,-51.4857142857143,-14.3142857142857,320,190,183,191,320,0,0,320,0,0,0
321,-62.6571428571429,-14.3142857142857,321,191,183,184,321,0,0,321,0,0,0
322,-73.8285714285714,-14.3142857142857,322,191,184,192,322,0,0,322,0,0,0
323,-85,-14.3142857142857,323,193,185,186,323,1,0,323,0,0,0
324,-2.26666666666667,-15.4222277241383,324,193,186,194,324,0,0,324,0,0,0
325,-4.53333333333333,-16.1894738577146,325,194,186,187,325,0,0,325,0,0,0
326,-6.8,-19.0857142857143,326,194,187,195,326,0,0,326,0,0,0
327,-17.9714285714286,-19.0857142857143,327,195,187,188,327,0,0,327,0,0,0
328,-29.1428571428571,-19.0857142857143,328,195,188,196,328,0,0,328,0,0,0
329,-40.3142857142857,-19.0857142857143,329,196,188,189,329,0,0,329,0,0,0
330,-51.4857142857143,-19.0857142857143,330,196,189,197,330,0,0,330,0,0,0
331,-62.6571428571429,-19.0857142857143,331,197,189,190,331,0,0,331,0,0,0
332,-73.8285714285714,-19.0857142857143,332,197,190,198,332,0,0,332,0,0,0
333,-85,-19.0857142857143,333,198,190,191,333,1,0,333,0,0,0
334,-2.26666666666667,-19.2777846551728,334,198,191,199,334,0,0,334,0,0,0
335,-4.53333333333333,-20.2368423221432,335,199,191,192,335,0,0,335,0,0,0
336,-6.8,-23.8571428571429,336,199,192,200,336,0,0,336,0,0,0
337,-17.9714285714286,-23.8571428571429,337,201,1,2,337,0,0,337,0,0,0
338,-29.1428571428571,-23.8571428571429,338,201,2,202,338,0,0,338,0,0,0
339,-40.3142857142857,-23.8571428571429,339,202,2,3,339,0,0,339,0,0,0
340,-51.4857142857143,-23.8571428571429,340,202,3,203,340,0,0,340,0,0,0
341,-62.6571428571429,-23.8571428571429,341,203,3,4,341,0,0,341,0,0,0
342,-73.8285714285714,-23.8571428571429,342,203,4,204,342,0,0,342,0,0,0
343,-85,-23.8571428571429,343,204,4,5,343,1,0,343,0,0,0
344,-2.26666666666667,-23.1333415862074,344,204,5,205,344,0,0,344,0,0,0
345,-4.53333333333333,-24.2842107865718,345,205,5,6,345,0,0,345,0,0,0
346,-6.8,-28.6285714285714,346,205,6,206,346,0,0,346,0,0,0
347,-17.9714285714286,-28.6285714285714,347,206,6,7,347,0,0,347,0,0,0
348,-29.1428571428571,-28.6285714285714,348,206,7,207,348,0,0,348,0,0,0
349,-40.3142857142857,-28.6285714285714,349,207,7,8,349,0,0,349,0,0,0
350,-51.4857142857143,-28.6285714285714,350,207,8,208,350,0,0,350,0,0,0
351,-62.6571428571429,-28.6285714285714,351,208,8,9,351,0,0,351,0,0,0
